,Position,Rank,Game,Date,Age,Team,Location,Opp,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Clint Capela,C,52,36,2/1/2023,28-259,ATL,@,PHO,W (+32),1,22:22,4,9,0.444,0,0,,1,1,1,3,7,10,1,1,0,0,1,9,9.8,17
Clint Capela,C,53,37,2/3/2023,28-261,ATL,@,UTA,W (+7),1,25:44:00,4,7,0.571,0,0,,1,2,0.5,2,11,13,1,0,1,2,3,9,8.2,3
Clint Capela,C,54,38,2/4/2023,28-262,ATL,@,DEN,L (-20),1,26:23:00,5,10,0.5,0,0,,2,3,0.667,3,8,11,0,0,0,1,3,12,8.9,-18
Clint Capela,C,55,39,2/7/2023,28-265,ATL,@,NOP,L (-9),1,23:02,5,7,0.714,0,0,,3,5,0.6,2,6,8,0,0,0,0,2,13,11.7,-19
Clint Capela,C,56,40,2/9/2023,28-267,ATL,,PHO,W (+9),1,25:19:00,3,8,0.375,0,0,,1,2,0.5,8,9,17,1,2,1,2,4,7,10.3,11
Clint Capela,C,57,41,2/11/2023,28-269,ATL,,SAS,W (+19),1,29:03:00,7,12,0.583,0,0,,0,0,,6,6,12,1,0,3,0,1,14,16.8,27
Clint Capela,C,58,42,2/13/2023,28-271,ATL,@,CHO,L (-6),1,29:15:00,11,17,0.647,0,0,,0,0,,5,2,7,3,1,0,1,2,22,19.9,2
Clint Capela,C,59,43,2/15/2023,28-273,ATL,,NYK,L (-21),1,25:46:00,5,8,0.625,0,0,,0,0,,2,6,8,1,1,1,0,3,10,10.8,-15
Clint Capela,C,60,44,2/24/2023,28-282,ATL,,CLE,W (+17),1,20:56,5,7,0.714,0,0,,0,0,,0,4,4,2,0,3,1,4,10,9.2,8
Clint Capela,C,61,45,2/26/2023,28-284,ATL,,BRK,W (+2),1,19:29,2,6,0.333,0,0,,2,6,0.333,6,6,12,0,0,1,1,0,6,6.7,-16
Clint Capela,C,62,46,2/28/2023,28-286,ATL,,WAS,L (-3),1,35:14:00,6,8,0.75,0,0,,1,2,0.5,6,9,15,3,2,3,0,2,13,21.7,2
Clint Capela,C,63,47,3/3/2023,28-289,ATL,,POR,W (+18),1,25:20:00,5,7,0.714,0,0,,1,2,0.5,4,8,12,3,1,1,1,0,11,15.7,-3
Clint Capela,C,64,48,3/4/2023,28-290,ATL,@,MIA,L (-8),1,24:56:00,8,10,0.8,0,0,,0,0,,5,8,13,0,1,1,0,3,16,18.6,-14
Clint Capela,C,65,49,3/6/2023,28-292,ATL,@,MIA,L (-2),1,33:48:00,6,6,1,0,0,,0,2,0,3,7,10,1,0,0,2,3,12,11.1,-6
Gabe Vincent,PG,1,1,10/19/2022,26-127,MIA,,CHI,L (-8),0,16:03,1,4,0.25,0,1,0,0,0,,0,0,0,3,0,0,4,1,2,-2.7,7
Gabe Vincent,PG,2,2,10/21/2022,26-129,MIA,,BOS,L (-7),0,24:06:00,7,13,0.538,3,5,0.6,0,0,,0,0,0,2,1,0,2,3,17,9.9,-6
Gabe Vincent,PG,3,3,10/22/2022,26-130,MIA,,TOR,W (+3),0,23:44,3,7,0.429,1,5,0.2,2,2,1,0,7,7,4,0,0,3,2,9,6.4,0
Gabe Vincent,PG,4,4,10/24/2022,26-132,MIA,,TOR,L (-8),0,25:52:00,1,3,0.333,0,1,0,1,2,0.5,0,1,1,4,1,1,2,1,3,3.3,-18
Gabe Vincent,PG,5,5,10/26/2022,26-134,MIA,@,POR,W (+21),0,20:16,2,5,0.4,0,2,0,4,4,1,1,0,1,7,0,0,1,0,8,9.9,11
Gabe Vincent,PG,6,6,10/27/2022,26-135,MIA,@,GSW,L (-13),0,17:57,3,8,0.375,1,4,0.25,2,3,0.667,0,1,1,3,1,0,0,3,9,6.4,-3
Gabe Vincent,PG,7,7,10/29/2022,26-137,MIA,@,SAC,L (-6),0,19:44,1,4,0.25,1,2,0.5,0,0,,0,1,1,1,0,0,0,4,3,0,-14
Gabe Vincent,PG,8,8,11/1/2022,26-140,MIA,,GSW,W (+7),0,30:59:00,2,7,0.286,0,4,0,0,0,,3,5,8,3,2,0,2,4,4,4,29
Gabe Vincent,PG,9,9,11/2/2022,26-141,MIA,,SAC,W (+3),0,28:49:00,3,12,0.25,2,7,0.286,2,3,0.667,0,1,1,4,1,0,0,4,10,4.9,8
Gabe Vincent,PG,10,10,11/4/2022,26-143,MIA,@,IND,L (-2),0,25:32:00,6,10,0.6,3,6,0.5,0,0,,0,3,3,0,3,0,1,5,15,11.3,1
Gabe Vincent,PG,11,11,11/7/2022,26-146,MIA,,POR,L (-3),0,35:29:00,5,13,0.385,3,9,0.333,2,3,0.667,0,1,1,3,2,1,3,3,15,8.4,-5
Gabe Vincent,PG,12,12,11/10/2022,26-149,MIA,,CHO,W (+5),0,37:49:00,3,11,0.273,2,7,0.286,4,4,1,0,4,4,2,1,0,0,4,12,7.5,2
Gabe Vincent,PG,13,13,11/12/2022,26-151,MIA,,CHO,W (+17),0,30:29:00,7,13,0.538,3,8,0.375,3,3,1,0,0,0,2,1,0,0,1,20,15.7,-6
Gabe Vincent,PG,14,14,11/14/2022,26-153,MIA,,PHO,W (+1),0,24:58:00,4,9,0.444,2,5,0.4,0,0,,0,4,4,4,0,0,2,2,10,6.5,-13
Gabe Vincent,PG,15,15,11/16/2022,26-155,MIA,@,TOR,L (-8),0,32:04:00,6,11,0.545,3,8,0.375,1,1,1,0,2,2,5,0,0,2,4,16,11.2,-8
Gabe Vincent,PG,16,,11/18/2022,26-157,MIA,@,WAS,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Gabe Vincent,PG,17,,11/20/2022,26-159,MIA,@,CLE,L (-26),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Gabe Vincent,PG,18,,11/21/2022,26-160,MIA,@,MIN,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Gabe Vincent,PG,19,16,11/23/2022,26-162,MIA,,WAS,W (+8),0,18:56,1,9,0.111,0,6,0,0,0,,0,1,1,4,0,0,0,0,2,-0.8,9
Gabe Vincent,PG,20,,11/25/2022,26-164,MIA,,WAS,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Gabe Vincent,PG,21,,11/27/2022,26-166,MIA,@,ATL,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Gabe Vincent,PG,22,17,11/30/2022,26-169,MIA,@,BOS,L (-13),0,19:22,4,7,0.571,2,4,0.5,0,0,,0,0,0,1,1,0,1,5,10,5.4,-3
Gabe Vincent,PG,23,18,12/2/2022,26-171,MIA,@,BOS,W (+4),0,25:26:00,1,6,0.167,1,5,0.2,0,0,,1,2,3,4,2,0,1,1,3,3.9,5
Gabe Vincent,PG,24,19,12/5/2022,26-174,MIA,@,MEM,L (-8),0,14:12,0,2,0,0,2,0,0,0,,0,1,1,0,0,0,2,2,0,-3.9,-10
Gabe Vincent,PG,25,,12/6/2022,26-175,MIA,,DET,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Gabe Vincent,PG,26,,12/8/2022,26-177,MIA,,LAC,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Gabe Vincent,PG,27,,12/10/2022,26-179,MIA,,SAS,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Gabe Vincent,PG,28,,12/12/2022,26-181,MIA,@,IND,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Gabe Vincent,PG,29,,12/14/2022,26-183,MIA,@,OKC,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Gabe Vincent,PG,30,,12/15/2022,26-184,MIA,@,HOU,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Gabe Vincent,PG,31,,12/17/2022,26-186,MIA,@,SAS,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Gabe Vincent,PG,32,,12/20/2022,26-189,MIA,,CHI,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Gabe Vincent,PG,33,,12/23/2022,26-192,MIA,,IND,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Gabe Vincent,PG,34,20,12/26/2022,26-195,MIA,,MIN,W (+3),0,17:45,5,11,0.455,1,4,0.25,0,0,,1,1,2,0,1,0,0,2,11,6.5,-4
Gabe Vincent,PG,35,21,12/28/2022,26-197,MIA,,LAL,W (+14),1,30:53:00,5,9,0.556,2,5,0.4,0,0,,2,0,2,2,1,0,1,3,12,9.3,16
Gabe Vincent,PG,36,22,12/30/2022,26-199,MIA,@,DEN,L (-5),0,16:00,1,6,0.167,1,4,0.25,0,0,,0,1,1,2,0,0,3,2,3,-2.9,-1
Gabe Vincent,PG,37,23,12/31/2022,26-200,MIA,@,UTA,W (+3),0,23:43,2,6,0.333,1,4,0.25,0,0,,1,2,3,4,0,0,0,4,5,4.1,8
Gabe Vincent,PG,38,24,1/2/2023,26-202,MIA,@,LAC,W (+10),0,18:31,2,5,0.4,1,3,0.333,0,0,,0,2,2,1,0,0,0,4,5,2,8
Gabe Vincent,PG,39,25,1/4/2023,26-204,MIA,@,LAL,L (-3),0,16:53,1,2,0.5,0,1,0,0,1,0,0,1,1,1,1,0,0,0,2,2.6,0
Gabe Vincent,PG,40,26,1/6/2023,26-206,MIA,@,PHO,W (+8),0,26:42:00,2,10,0.2,2,8,0.25,0,0,,0,4,4,3,0,0,0,1,6,2.7,-6
Gabe Vincent,PG,41,27,1/8/2023,26-208,MIA,,BRK,L (-1),0,18:15,1,1,1,1,1,1,0,0,,1,0,1,2,0,1,4,1,3,1.1,-2
Gabe Vincent,PG,42,28,1/10/2023,26-210,MIA,,OKC,W (+1),1,39:26:00,3,12,0.25,1,6,0.167,6,6,1,0,4,4,4,1,0,7,2,13,3,2
Gabe Vincent,PG,43,29,1/12/2023,26-212,MIA,,MIL,W (+6),1,41:02:00,10,17,0.588,5,11,0.455,3,3,1,2,1,3,6,2,0,1,2,28,26.2,11
Gabe Vincent,PG,44,30,1/14/2023,26-214,MIA,,MIL,W (+16),1,40:00:00,11,14,0.786,5,8,0.625,0,0,,0,3,3,2,5,0,2,2,27,26.1,16
Gabe Vincent,PG,45,31,1/16/2023,26-216,MIA,@,ATL,L (-8),1,26:12:00,4,10,0.4,2,7,0.286,0,0,,1,2,3,3,2,0,2,2,10,7.2,-8
Gabe Vincent,PG,46,32,1/18/2023,26-218,MIA,@,NOP,W (+26),0,25:59:00,6,14,0.429,4,8,0.5,0,0,,0,5,5,3,0,0,0,2,16,11.4,11
Gabe Vincent,PG,47,33,1/20/2023,26-220,MIA,@,DAL,L (-25),0,27:08:00,3,9,0.333,1,6,0.167,3,4,0.75,0,0,0,3,0,0,2,3,10,3.4,-13
Gabe Vincent,PG,48,34,1/22/2023,26-222,MIA,,NOP,W (+4),0,18:05,2,6,0.333,1,4,0.25,0,0,,1,2,3,0,1,0,3,2,5,0.1,-6
Gabe Vincent,PG,49,35,1/24/2023,26-224,MIA,,BOS,W (+3),0,25:05:00,1,7,0.143,1,2,0.5,4,4,1,0,1,1,3,0,0,0,0,7,4.9,16
Gabe Vincent,PG,50,36,1/27/2023,26-227,MIA,,ORL,W (+5),0,18:57,3,8,0.375,3,7,0.429,2,2,1,0,1,1,1,0,0,1,2,11,5.8,-2
Gabe Vincent,PG,51,37,1/29/2023,26-229,MIA,@,CHO,L (-5),0,17:58,3,7,0.429,1,4,0.25,1,1,1,0,2,2,1,1,0,1,2,8,4.8,-16
Gabe Vincent,PG,52,38,1/31/2023,26-231,MIA,@,CLE,W (+3),0,20:53,3,8,0.375,3,6,0.5,0,0,,0,2,2,1,0,0,0,5,9,3.9,11
Gabe Vincent,PG,53,39,2/2/2023,26-233,MIA,@,NYK,L (-2),0,25:26:00,2,8,0.25,1,6,0.167,0,0,,0,4,4,4,2,0,3,4,5,1.6,14
Gabe Vincent,PG,54,40,2/4/2023,26-235,MIA,@,MIL,L (-8),1,34:02:00,3,9,0.333,1,6,0.167,0,0,,1,2,3,1,3,0,2,2,7,4.1,-1
Gabe Vincent,PG,55,41,2/8/2023,26-239,MIA,,IND,W (+5),1,37:15:00,4,11,0.364,3,7,0.429,6,7,0.857,1,3,4,3,1,0,3,4,17,10.6,7
Gabe Vincent,PG,56,42,2/10/2023,26-241,MIA,,HOU,W (+2),1,34:37:00,2,8,0.25,1,6,0.167,0,0,,0,3,3,4,2,1,2,0,5,4.6,0
Gabe Vincent,PG,57,43,2/11/2023,26-242,MIA,@,ORL,W (+4),1,41:07:00,6,12,0.5,4,10,0.4,4,4,1,1,1,2,2,1,0,2,4,20,13.8,10
Gabe Vincent,PG,58,44,2/13/2023,26-244,MIA,,DEN,L (-4),1,34:04:00,5,13,0.385,4,9,0.444,1,1,1,0,2,2,4,1,0,2,6,15,7.9,5
Gabe Vincent,PG,59,45,2/15/2023,26-246,MIA,@,BRK,L (-11),1,35:09:00,6,14,0.429,3,9,0.333,6,7,0.857,1,2,3,1,1,0,0,3,21,15,-9
Gabe Vincent,PG,60,46,2/24/2023,26-255,MIA,@,MIL,L (-29),1,23:02,1,6,0.167,0,5,0,0,0,,0,1,1,1,0,0,0,0,2,-0.8,-13
Gabe Vincent,PG,61,47,2/25/2023,26-256,MIA,@,CHO,L (-5),1,26:46:00,2,5,0.4,1,4,0.25,0,0,,0,3,3,2,0,0,3,4,5,0,13
Gabe Vincent,PG,62,48,2/27/2023,26-258,MIA,@,PHI,W (+2),1,30:21:00,5,12,0.417,4,8,0.5,0,0,,2,1,3,1,0,0,0,3,14,8.8,-7
Gabe Vincent,PG,63,49,3/1/2023,26-260,MIA,,PHI,L (-23),1,27:59:00,2,11,0.182,0,7,0,0,0,,0,1,1,1,1,0,1,2,4,-2.7,-8
Gabe Vincent,PG,64,50,3/3/2023,26-262,MIA,,NYK,L (-2),1,26:46:00,1,6,0.167,1,4,0.25,0,0,,0,2,2,3,2,0,1,3,3,1.7,2
Gabe Vincent,PG,65,51,3/4/2023,26-263,MIA,,ATL,W (+8),1,31:52:00,3,10,0.3,3,7,0.429,0,0,,0,2,2,3,0,0,2,3,9,2.7,5
Gabe Vincent,PG,66,52,3/6/2023,26-265,MIA,,ATL,W (+2),1,23:46,3,6,0.5,2,5,0.4,0,0,,0,2,2,2,1,0,2,2,8,5.2,-4
Tyler Herro,SG,1,1,10/19/2022,22-272,MIA,,CHI,L (-8),1,34:28:00,8,15,0.533,4,8,0.5,3,4,0.75,0,6,6,1,2,0,1,2,23,18,-18
Tyler Herro,SG,2,2,10/21/2022,22-274,MIA,,BOS,L (-7),1,36:06:00,10,21,0.476,2,6,0.333,3,3,1,0,6,6,3,0,2,1,3,25,17.4,-1
Tyler Herro,SG,3,3,10/22/2022,22-275,MIA,,TOR,W (+3),1,22:17,4,8,0.5,1,4,0.25,5,5,1,2,6,8,6,0,0,2,5,14,13.4,0
Tyler Herro,SG,4,4,10/24/2022,22-277,MIA,,TOR,L (-8),1,40:00:00,8,18,0.444,2,9,0.222,4,5,0.8,1,14,15,4,1,0,4,1,22,16.5,-12
Tyler Herro,SG,5,5,10/26/2022,22-279,MIA,@,POR,W (+21),1,28:23:00,5,13,0.385,3,8,0.375,1,1,1,0,4,4,4,0,0,1,2,14,9.1,10
Tyler Herro,SG,6,6,10/27/2022,22-280,MIA,@,GSW,L (-13),1,31:46:00,3,12,0.25,1,5,0.2,0,0,,0,4,4,2,0,0,2,1,7,0,-10
Tyler Herro,SG,7,7,10/29/2022,22-282,MIA,@,SAC,L (-6),1,34:52:00,13,22,0.591,5,8,0.625,3,4,0.75,1,2,3,0,0,0,3,1,34,21.3,11
Tyler Herro,SG,8,8,11/1/2022,22-285,MIA,,GSW,W (+7),1,9:57,1,4,0.25,0,0,,0,0,,0,1,1,1,1,1,0,0,2,2.3,-6
Tyler Herro,SG,9,9,11/2/2022,22-286,MIA,,SAC,W (+3),1,37:49:00,12,21,0.571,2,6,0.333,0,0,,2,10,12,0,1,3,2,0,26,21.6,15
Tyler Herro,SG,10,10,11/4/2022,22-288,MIA,@,IND,L (-2),1,38:21:00,8,20,0.4,4,10,0.4,9,9,1,0,5,5,5,2,0,5,1,29,19.8,-2
Tyler Herro,SG,11,,11/7/2022,22-291,MIA,,POR,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyler Herro,SG,12,,11/10/2022,22-294,MIA,,CHO,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyler Herro,SG,13,,11/12/2022,22-296,MIA,,CHO,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyler Herro,SG,14,,11/14/2022,22-298,MIA,,PHO,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyler Herro,SG,15,,11/16/2022,22-300,MIA,@,TOR,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyler Herro,SG,16,,11/18/2022,22-302,MIA,@,WAS,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyler Herro,SG,17,,11/20/2022,22-304,MIA,@,CLE,L (-26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyler Herro,SG,18,,11/21/2022,22-305,MIA,@,MIN,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyler Herro,SG,19,11,11/23/2022,22-307,MIA,,WAS,W (+8),1,29:23:00,6,15,0.4,5,10,0.5,0,2,0,0,5,5,3,0,0,3,3,17,7.5,-10
Tyler Herro,SG,20,12,11/25/2022,22-309,MIA,,WAS,W (+3),1,38:39:00,4,18,0.222,2,10,0.2,1,1,1,0,5,5,10,0,1,5,1,11,3.8,8
Tyler Herro,SG,21,13,11/27/2022,22-311,MIA,@,ATL,W (+8),1,39:55:00,3,13,0.231,0,8,0,5,5,1,1,10,11,10,1,0,2,3,11,11.6,7
Tyler Herro,SG,22,14,11/30/2022,22-314,MIA,@,BOS,L (-13),1,37:17:00,9,17,0.529,2,6,0.333,2,2,1,2,4,6,9,0,1,4,2,22,18.5,-10
Tyler Herro,SG,23,15,12/2/2022,22-316,MIA,@,BOS,W (+4),1,38:57:00,10,19,0.526,6,10,0.6,0,0,,0,5,5,3,3,0,5,2,26,17.5,7
Tyler Herro,SG,24,16,12/5/2022,22-319,MIA,@,MEM,L (-8),1,39:44:00,8,20,0.4,3,11,0.273,4,4,1,2,11,13,5,1,0,2,0,23,19.4,1
Tyler Herro,SG,25,17,12/6/2022,22-320,MIA,,DET,L (-20),1,37:15:00,12,17,0.706,2,4,0.5,8,8,1,0,3,3,6,1,0,1,1,34,31.6,-6
Tyler Herro,SG,26,18,12/8/2022,22-322,MIA,,LAC,W (+5),1,39:25:00,6,17,0.353,4,8,0.5,3,3,1,0,9,9,3,2,0,3,2,19,12.5,16
Tyler Herro,SG,27,19,12/10/2022,22-324,MIA,,SAS,L (-4),1,36:28:00,8,16,0.5,5,8,0.625,2,4,0.5,0,5,5,5,1,1,4,1,23,16.5,-3
Tyler Herro,SG,28,20,12/12/2022,22-326,MIA,@,IND,W (+5),1,34:11:00,3,11,0.273,2,7,0.286,0,0,,0,3,3,6,1,1,2,4,8,4.7,16
Tyler Herro,SG,29,21,12/14/2022,22-328,MIA,@,OKC,W (+2),1,39:58:00,12,23,0.522,9,17,0.529,2,2,1,1,2,3,2,0,0,1,1,35,25,0
Tyler Herro,SG,30,22,12/15/2022,22-329,MIA,@,HOU,W (+3),1,39:46:00,13,20,0.65,10,15,0.667,5,5,1,1,5,6,2,1,1,4,0,41,33.5,4
Tyler Herro,SG,31,23,12/17/2022,22-331,MIA,@,SAS,W (+10),1,38:07:00,6,16,0.375,3,9,0.333,6,6,1,0,6,6,7,2,0,4,4,21,15.3,11
Tyler Herro,SG,32,24,12/20/2022,22-334,MIA,,CHI,L (-10),1,42:15:00,7,16,0.438,4,11,0.364,1,1,1,0,3,3,7,2,0,3,1,19,15,-20
Tyler Herro,SG,33,25,12/23/2022,22-337,MIA,,IND,L (-3),1,38:34:00,10,23,0.435,5,13,0.385,3,3,1,1,3,4,2,0,0,2,2,28,16.1,5
Tyler Herro,SG,34,26,12/26/2022,22-340,MIA,,MIN,W (+3),1,34:30:00,7,19,0.368,0,8,0,0,0,,0,2,2,8,3,0,3,1,14,9.3,-3
Tyler Herro,SG,35,27,12/28/2022,22-342,MIA,,LAL,W (+14),1,36:10:00,6,17,0.353,3,7,0.429,3,3,1,0,4,4,9,2,0,1,3,18,15.8,29
Tyler Herro,SG,36,28,12/30/2022,22-344,MIA,@,DEN,L (-5),1,32:45:00,9,18,0.5,4,9,0.444,4,4,1,1,9,10,5,1,0,1,1,26,23.5,-6
Tyler Herro,SG,37,29,12/31/2022,22-345,MIA,@,UTA,W (+3),1,34:01:00,10,20,0.5,3,11,0.273,6,7,0.857,0,9,9,6,2,0,5,4,29,20.9,-2
Tyler Herro,SG,38,30,1/2/2023,22-347,MIA,@,LAC,W (+10),1,39:13:00,7,15,0.467,5,9,0.556,4,4,1,0,7,7,3,1,0,1,2,23,18.7,23
Tyler Herro,SG,39,31,1/4/2023,22-349,MIA,@,LAL,L (-3),1,34:58:00,4,14,0.286,1,5,0.2,0,0,,0,4,4,3,0,0,4,3,9,-1.1,-6
Tyler Herro,SG,40,,1/6/2023,22-351,MIA,@,PHO,W (+8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Tyler Herro,SG,41,32,1/8/2023,22-353,MIA,,BRK,L (-1),1,37:39:00,8,21,0.381,5,13,0.385,3,3,1,0,4,4,2,0,0,1,1,24,13.7,-8
Tyler Herro,SG,42,,1/10/2023,22-355,MIA,,OKC,W (+1),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Tyler Herro,SG,43,,1/12/2023,22-357,MIA,,MIL,W (+6),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Tyler Herro,SG,44,,1/14/2023,22-359,MIA,,MIL,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyler Herro,SG,45,33,1/16/2023,22-361,MIA,@,ATL,L (-8),1,31:20:00,7,16,0.438,1,8,0.125,0,0,,0,5,5,4,0,0,1,1,15,9.5,5
Tyler Herro,SG,46,34,1/18/2023,22-363,MIA,@,NOP,W (+26),1,24:20:00,6,13,0.462,0,7,0,2,2,1,0,4,4,7,2,0,1,0,14,14.4,17
Tyler Herro,SG,47,35,1/20/2023,23-000,MIA,@,DAL,L (-25),1,29:53:00,6,11,0.545,0,2,0,4,5,0.8,0,5,5,1,0,0,4,3,16,7.3,-9
