,Position,Rank,Game,Date,Age,Team,Location,Opp,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Joel Embiid,C,62,49,3/2/2023,28-351,PHI,@,DAL,L (-7),1,35:44:00,13,21,0.619,0,1,0,9,13,0.692,4,4,8,1,2,0,3,5,35,25.6,-16
Joel Embiid,C,63,50,3/4/2023,28-353,PHI,@,MIL,W (+3),1,37:06:00,11,22,0.5,3,5,0.6,6,10,0.6,0,6,6,10,0,0,1,5,31,24.2,-7
Joel Embiid,C,64,51,3/6/2023,28-355,PHI,@,IND,W (+4),1,37:07:00,11,16,0.688,1,2,0.5,19,19,1,1,4,5,3,2,1,4,4,42,36.3,-4
Tyrese Maxey,SG,1,1,10/18/2022,21-348,PHI,@,BOS,L (-9),1,38:11:00,8,16,0.5,2,5,0.4,3,3,1,0,1,1,2,2,0,1,5,21,13.7,-6
Tyrese Maxey,SG,2,2,10/20/2022,21-350,PHI,,MIL,L (-2),1,34:10:00,6,13,0.462,0,3,0,3,4,0.75,0,2,2,0,0,0,1,3,15,6.3,-7
Tyrese Maxey,SG,3,3,10/22/2022,21-352,PHI,,SAS,L (-9),1,39:37:00,8,18,0.444,3,8,0.375,6,9,0.667,1,2,3,6,1,0,3,3,25,16.7,-11
Tyrese Maxey,SG,4,4,10/24/2022,21-354,PHI,,IND,W (+14),1,37:47:00,3,11,0.273,2,5,0.4,0,0,,1,1,2,3,1,0,2,0,8,3.6,4
Tyrese Maxey,SG,5,5,10/26/2022,21-356,PHI,@,TOR,L (-10),1,43:14:00,12,21,0.571,4,8,0.5,3,4,0.75,1,4,5,6,2,1,4,0,31,25.5,-1
Tyrese Maxey,SG,6,6,10/28/2022,21-358,PHI,@,TOR,W (+22),1,39:49:00,15,20,0.75,9,12,0.75,5,6,0.833,0,8,8,4,1,0,2,3,44,38.6,29
Tyrese Maxey,SG,7,7,10/29/2022,21-359,PHI,@,CHI,W (+5),1,29:17:00,5,14,0.357,2,6,0.333,2,3,0.667,0,5,5,3,1,0,2,4,14,6.8,5
Tyrese Maxey,SG,8,8,10/31/2022,21-361,PHI,@,WAS,W (+7),1,34:25:00,12,22,0.545,2,6,0.333,2,2,1,0,3,3,3,1,0,3,3,28,17.2,-4
