Name,Position,Date,Team,Location,Opp,Minutes Played,FGM,FGA,3PM,3PA,FTM,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
Aaron Gordan,SF,2/26/2023,DEN,0,LAC,28:57:00,3,9,0,5,0,0,0,6,6,6,0,0,2,6
Aaron Gordan,SF,2/28/2023,DEN,1,HOU,21:04,5,7,0,0,1,2,2,5,7,5,0,0,0,11
Aaron Gordan,SF,3/3/2023,DEN,0,MEM,28:11:00,5,10,0,2,3,3,4,1,5,0,0,0,0,13
Aaron Gordan,SF,3/6/2023,DEN,0,TOR,29:44:00,7,12,0,2,5,6,5,1,6,5,2,1,0,19
Aaron Nesmith,PF,10/19/2022,IND,0,WAS,22:30,1,8,1,5,0,0,0,4,4,1,0,0,0,3
Aaron Nesmith,PF,10/21/2022,IND,0,SAS,21:07,4,9,1,3,0,0,2,2,4,2,0,1,1,9
Aaron Nesmith,PF,10/22/2022,IND,0,DET,23:15,2,5,1,3,2,2,0,1,1,0,0,3,1,7
Aaron Nesmith,PF,10/24/2022,IND,1,PHI,17:20,4,9,1,4,0,0,0,2,2,1,0,0,1,9
Aaron Nesmith,PF,10/26/2022,IND,1,CHI,17:31,4,6,1,3,0,0,0,3,3,2,0,1,2,9
Aaron Nesmith,PF,10/28/2022,IND,1,WAS,29:44:00,4,6,2,4,5,7,1,6,7,3,1,0,1,15
Aaron Nesmith,PF,11/9/2022,IND,0,DEN,22:25,0,5,0,3,0,0,0,3,3,3,1,1,2,0
Aaron Nesmith,PF,11/12/2022,IND,0,TOR,14:44,3,5,2,3,2,2,0,2,2,2,0,1,1,10
Aaron Nesmith,PF,11/16/2022,IND,1,CHO,18:01,0,4,0,3,0,0,0,2,2,0,1,0,0,0
Aaron Nesmith,PF,11/18/2022,IND,1,HOU,8:40,0,1,0,1,0,2,0,0,0,1,0,0,1,0
Aaron Nesmith,PF,11/19/2022,IND,0,ORL,25:24:00,5,10,5,8,4,4,1,2,3,0,0,0,1,19
Aaron Nesmith,PF,11/21/2022,IND,0,ORL,30:53:00,3,7,2,6,1,1,0,8,8,2,1,0,4,9
Aaron Nesmith,PF,11/23/2022,IND,0,MIN,25:47:00,1,9,1,5,0,0,2,1,3,1,0,0,0,3
Aaron Nesmith,PF,11/25/2022,IND,0,BRK,25:38:00,3,7,1,4,3,4,1,1,2,1,2,1,1,10
Aaron Nesmith,PF,11/27/2022,IND,1,LAC,22:37,1,7,0,3,0,0,0,3,3,2,1,0,1,2
Aaron Nesmith,PF,11/28/2022,IND,1,LAL,23:06,5,10,4,7,2,2,1,3,4,0,1,1,0,16
Aaron Nesmith,PF,11/30/2022,IND,1,SAC,23:41,3,10,2,5,0,0,1,3,4,1,1,1,1,8
Aaron Nesmith,PF,12/2/2022,IND,1,UTA,17:31,3,8,2,4,0,0,1,2,3,2,4,0,0,8
Aaron Nesmith,PF,12/4/2022,IND,1,POR,24:08:00,3,8,0,3,4,4,0,3,3,1,3,0,1,10
Aaron Nesmith,PF,12/5/2022,IND,1,GSW,15:07,2,3,1,2,0,0,0,3,3,0,0,0,0,5
Aaron Nesmith,PF,12/7/2022,IND,1,MIN,32:57:00,3,8,1,6,2,2,1,2,3,0,1,0,2,9
Aaron Nesmith,PF,12/9/2022,IND,0,WAS,13:04,3,6,3,4,0,0,1,1,2,0,0,0,2,9
Aaron Nesmith,PF,12/10/2022,IND,0,BRK,14:53,4,4,2,2,2,2,1,2,3,1,0,0,1,12
Aaron Nesmith,PF,12/12/2022,IND,0,MIA,29:38:00,5,12,2,5,0,0,2,4,6,0,2,3,2,12
Aaron Nesmith,PF,12/14/2022,IND,0,GSW,19:31,2,7,2,5,0,0,1,2,3,1,0,1,0,6
Aaron Nesmith,PF,12/16/2022,IND,1,CLE,29:22:00,6,8,2,4,0,0,1,3,4,1,0,0,0,14
Aaron Nesmith,PF,12/18/2022,IND,0,NYK,31:08:00,9,12,4,6,1,1,3,7,10,0,1,0,1,23
Aaron Nesmith,PF,12/21/2022,IND,1,BOS,27:56:00,6,13,1,5,2,2,1,5,6,3,2,0,1,15
Aaron Nesmith,PF,12/26/2022,IND,1,NOP,22:10,5,12,0,4,0,0,2,3,5,2,0,0,1,10
Aaron Nesmith,PF,12/27/2022,IND,0,ATL,19:22,0,6,0,4,3,3,1,5,6,2,0,1,0,3
Aaron Nesmith,PF,12/29/2022,IND,0,CLE,27:48:00,7,10,2,4,6,6,0,2,2,1,0,1,1,22
Aaron Nesmith,PF,12/31/2022,IND,0,LAC,34:04:00,6,9,3,5,1,1,0,1,1,4,0,1,0,16
Aaron Nesmith,PF,1/2/2023,IND,0,TOR,30:18:00,3,12,0,4,4,4,2,3,5,1,0,0,1,10
Aaron Nesmith,PF,1/4/2023,IND,1,PHI,22:08,3,8,3,5,2,2,0,5,5,4,0,0,0,11
Aaron Nesmith,PF,1/6/2023,IND,0,POR,25:31:00,3,5,0,0,4,4,2,5,7,0,2,0,0,10
Aaron Nesmith,PF,1/8/2023,IND,0,CHO,31:17:00,5,7,0,2,5,7,1,5,6,2,4,0,1,15
Aaron Nesmith,PF,1/14/2023,IND,0,MEM,24:50:00,2,13,0,8,2,2,2,5,7,1,1,0,2,6
Aaron Nesmith,PF,1/16/2023,IND,1,MIL,24:09:00,3,8,1,4,0,0,0,1,1,0,0,0,1,7
Aaron Nesmith,PF,1/18/2023,IND,1,OKC,18:20,3,8,1,3,2,4,1,1,2,0,0,0,2,9
Aaron Nesmith,PF,1/20/2023,IND,1,DEN,23:39,4,9,3,5,2,2,2,1,3,1,0,0,2,13
Aaron Nesmith,PF,1/21/2023,IND,1,PHO,29:22:00,2,10,2,4,0,0,0,2,2,0,2,0,0,6
Aaron Nesmith,PF,1/24/2023,IND,0,CHI,28:36:00,0,7,0,2,3,4,2,4,6,2,1,2,1,3
Aaron Nesmith,PF,1/25/2023,IND,1,ORL,13:23,0,5,0,3,0,0,0,0,0,0,1,0,2,0
Aaron Nesmith,PF,1/27/2023,IND,0,MIL,26:39:00,3,6,2,4,2,2,0,3,3,0,1,0,1,10
Aaron Nesmith,PF,1/29/2023,IND,1,MEM,32:20:00,4,8,1,5,7,7,0,5,5,0,1,0,0,16
Aaron Nesmith,PF,2/2/2023,IND,0,LAL,35:04:00,9,12,5,8,1,1,0,3,3,2,2,1,1,24
Aaron Nesmith,PF,2/3/2023,IND,0,SAC,32:41:00,6,13,4,7,1,2,2,4,6,3,1,1,1,17
Aaron Nesmith,PF,2/5/2023,IND,0,CLE,28:27:00,3,10,0,5,0,0,1,0,1,1,0,0,0,6
Aaron Nesmith,PF,2/8/2023,IND,1,MIA,29:33:00,3,9,1,5,0,0,0,3,3,1,1,0,1,7
Aaron Nesmith,PF,2/10/2023,IND,0,PHO,23:52,1,5,1,4,2,2,2,2,4,1,0,0,0,5
Aaron Nesmith,PF,2/11/2023,IND,1,WAS,25:39:00,0,6,0,2,3,4,1,1,2,3,0,1,0,3
Aaron Nesmith,PF,2/13/2023,IND,0,UTA,29:54:00,7,9,4,5,1,2,0,6,6,0,1,0,2,19
Aaron Nesmith,PF,2/15/2023,IND,0,CHI,33:38:00,7,12,4,9,3,3,1,6,7,3,1,1,1,21
Aaron Nesmith,PF,2/23/2023,IND,0,BOS,34:08:00,3,7,0,3,3,3,1,2,3,2,2,0,2,9
Aaron Nesmith,PF,2/25/2023,IND,1,ORL,19:45,2,7,0,2,0,0,1,4,5,0,0,0,0,4
Aaron Nesmith,PF,2/28/2023,IND,1,DAL,19:21,5,7,2,4,2,3,0,1,1,1,0,1,2,14
Aaron Nesmith,PF,3/2/2023,IND,1,SAS,15:58,0,4,0,2,0,0,1,2,3,0,0,0,0,0
